imageId,label
1,3
2,1
3,0
4,5
5,3
6,8
7,1
8,4
9,1
10,4
11,6
12,8
13,0
14,1
15,5
16,1
17,4
18,2
19,0
20,1
21,0
22,2
23,2
24,6
25,8
26,5
27,3
28,8
29,0
30,8
31,8
32,6
33,5
34,3
35,7
36,3
37,6
38,6
39,2
40,7
41,8
42,8
43,5
44,0
45,7
46,8
47,9
48,4
49,7
50,2
51,7
52,9
53,9
54,4
55,0
56,3
57,2
58,3
59,5
60,6
61,0
62,2
63,8
64,1
65,1
66,1
67,2
68,0
69,1
70,2
71,7
72,6
73,9
74,9
75,3
76,9
77,4
78,0
79,3
80,4
81,4
82,0
83,2
84,1
85,0
86,3
87,5
88,4
89,7
90,8
91,3
92,1
93,7
94,7
95,2
96,5
97,4
98,0
99,8
100,5
101,1
102,9
103,3
104,1
105,8
106,4
107,1
108,6
109,1
110,4
111,1
112,1
113,5
114,8
115,2
116,8
117,2
118,2
119,6
120,4
121,4
122,8
123,3
124,2
125,7
126,4
127,9
128,8
129,7
130,5
131,6
132,6
133,7
134,1
135,1
136,1
137,4
138,2
139,4
140,7
141,5
142,4
143,5
144,6
145,6
146,9
147,8
148,0
149,3
150,9
151,7
152,4
153,6
154,7
155,4
156,4
157,8
158,6
159,8
160,9
161,4
162,1
163,5
164,6
165,2
166,9
167,8
168,7
169,6
170,1
171,3
172,8
173,0
174,7
175,2
176,4
177,8
178,5
179,2
180,3
181,5
182,4
183,6
184,3
185,5
186,0
187,3
188,2
189,7
190,1
191,7
192,2
193,5
194,0
195,7
196,1
197,0
198,8
199,7
200,0
201,2
202,0
203,1
204,0
205,0
206,1
207,9
208,5
209,7
210,3
211,1
212,0
213,4
214,7
215,8
216,3
217,2
218,7
219,4
220,5
221,3
222,4
223,2
224,3
225,3
226,1
227,5
228,7
229,2
230,1
231,1
232,5
233,8
234,2
235,8
236,4
237,3
238,4
239,9
240,7
241,9
242,7
243,3
244,4
245,6
246,6
247,5
248,9
249,4
250,9
251,0
252,8
253,2
254,4
255,9
256,5
257,6
258,2
259,5
260,3
261,7
262,4
263,4
264,6
265,8
266,1
267,7
268,9
269,7
270,2
271,7
272,1
273,7
274,4
275,0
276,7
277,2
278,6
279,9
280,5
281,1
282,0
283,3
284,1
285,6
286,4
287,8
288,9
289,0
290,0
291,6
292,8
293,8
294,0
295,0
296,7
297,4
298,1
299,4
300,4
301,7
302,5
303,9
304,3
305,7
306,3
307,8
308,2
309,5
310,6
311,9
312,9
313,5
314,1
315,1
316,4
317,9
318,5
319,2
320,9
321,5
322,2
323,2
324,0
325,9
326,5
327,6
328,2
329,6
330,8
331,7
332,4
333,2
334,4
335,1
336,0
337,1
338,1
339,7
340,1
341,7
342,8
343,2
344,9
345,7
346,1
347,7
348,6
349,3
350,4
351,7
352,8
353,8
354,9
355,6
356,9
357,0
358,0
359,3
360,0
361,4
362,7
363,4
364,9
365,0
366,3
367,4
368,9
369,2
370,7
371,5
372,9
373,0
374,0
375,8
376,7
377,0
378,6
379,4
380,8
381,7
382,6
383,6
384,0
385,3
386,7
387,3
388,2
389,4
390,0
391,2
392,8
393,0
394,0
395,7
396,2
397,2
398,2
399,8
400,4
401,0
402,8
403,7
404,2
405,2
406,2
407,0
408,4
409,6
410,6
411,6
412,4
413,5
414,2
415,3
416,8
417,2
418,2
419,4
420,6
421,0
422,7
423,7
424,6
425,4
426,2
427,5
428,8
429,0
430,8
431,5
432,9
433,6
434,3
435,7
436,2
437,4
438,0
439,6
440,1
441,9
442,5
443,8
444,5
445,5
446,5
447,2
448,6
449,4
450,5
451,8
452,8
453,7
454,0
455,6
456,0
457,3
458,4
459,4
460,9
461,7
462,8
